rank,gene,axis,typed_status,strongest_condition,strongest_de,rest_de,k562_de,rpe1_de,orthogonal_dataset_count,schmidt_status
1,PGGT1B,prenylation and small-GTPase traffic,evidence_attached,Stim8hr,3014,175,1,,6,orthogonal_phenotype
2,CCDC22,"CCC, COMMD, and retromer-associated endosomal traffic",evidence_attached,Stim48hr,619,116,13,,6,orthogonal_phenotype
3,LETM2,organelle ion homeostasis and late activation state,evidence_attached,Stim48hr,386,18,,,5,orthogonal_phenotype
