rank,gene,typed_status,strongest_condition,strongest_n_total_de_genes,rest_de,stim8hr_de,stim48hr_de,k562_de,rpe1_de,specificity_status,collectri_target_count,standard_t_cell_annotation
1,A1BG,not_assayed,,,1,1,0,4,,cell_type_specific_context,0,False
2,A2M,not_assayed,,,122,164,45,,,not_assayed,0,False
3,AAAS,associative_only,Stim48hr,1,0,1,1,1,0,cell_type_specific_context,0,False
4,AACS,evidence_attached,Stim48hr,17,5,9,17,67,,specificity_warning,0,False
5,AAGAB,evidence_attached,Stim8hr,34,3,34,1,5,,cell_type_specific_context,0,False
6,AAK1,associative_only,Stim8hr,7,3,7,4,6,,cell_type_specific_context,0,False
7,AAMDC,associative_only,Rest,2,2,1,30,1,,cell_type_specific_context,0,False
8,AAR2,evidence_attached,Rest,37,37,21,5,377,9,specificity_warning,0,False
9,AARS2,not_assayed,,,0,0,0,387,25,specificity_warning,0,False
10,AARSD1,not_assayed,,,0,1,0,1,,cell_type_specific_context,0,False
11,AASDH,evidence_attached,Rest,151,151,1,101,0,,cell_type_specific_context,0,False
12,AASDHPPT,evidence_attached,Rest,13,13,1,3,3,85,cell_type_specific_context,0,False
13,AASS,evidence_attached,Stim48hr,26,1,0,26,,,not_assayed,0,False
14,ABAT,not_assayed,,,0,1,0,,,not_assayed,0,False
15,ABCA1,not_assayed,,,16,42,11,,,not_assayed,0,False
16,ABCA2,associative_only,Stim8hr,3,1,3,1,,,not_assayed,0,False
17,ABCA3,evidence_attached,Stim48hr,185,1,8,185,,,not_assayed,0,False
18,ABCA5,evidence_attached,Stim48hr,35,4,33,35,,,not_assayed,0,False
19,ABCA7,associative_only,Stim48hr,2,1,0,2,2,,cell_type_specific_context,0,False
20,ABCB1,not_assayed,,,2,5,2,,,not_assayed,0,False
21,ABCB6,associative_only,Rest,4,4,1,1,5,,cell_type_specific_context,0,False
22,ABCB7,not_assayed,,,0,231,0,143,1136,specificity_warning,0,False
23,ABCB8,associative_only,Stim48hr,4,3,1,4,11,,cell_type_specific_context,0,False
24,ABCB9,not_assayed,,,1,1,1,1,,cell_type_specific_context,0,False
25,ABCC1,evidence_attached,Rest,88,88,54,37,40,,specificity_warning,0,False
26,ABCC10,not_assayed,,,0,1,0,0,,cell_type_specific_context,0,False
27,ABCC2,not_assayed,,,0,1,0,,,not_assayed,0,False
28,ABCC3,not_assayed,,,1,2,3,,,not_assayed,0,False
29,ABCC4,evidence_attached,Stim48hr,35,1,1,35,1,,cell_type_specific_context,0,False
30,ABCC5,associative_only,Rest,1,1,1,1,3,,cell_type_specific_context,0,False
31,ABCC8,not_assayed,,,0,0,0,,,not_assayed,0,False
32,ABCD2,evidence_attached,Stim48hr,15,6,4,15,,,not_assayed,0,False
33,ABCD3,associative_only,Rest,6,6,2,1,2,,cell_type_specific_context,0,False
34,ABCD4,associative_only,Rest,1,1,1,10,0,,cell_type_specific_context,0,False
35,ABCE1,associative_only,Stim8hr,4,0,4,8,250,1861,specificity_warning,0,False
36,ABCF2,associative_only,Stim48hr,5,1,1,5,1,,cell_type_specific_context,0,False
37,ABCF3,not_assayed,,,0,0,0,2,,cell_type_specific_context,0,False
38,ABCG1,not_assayed,,,0,0,0,28,584,specificity_warning,0,False
39,ABHD10,associative_only,Rest,2,2,1,2,0,,cell_type_specific_context,0,False
40,ABHD11,not_assayed,,,3,1,2,1,30,cell_type_specific_context,0,False
41,ABHD12,evidence_attached,Rest,447,447,3,1,0,,cell_type_specific_context,0,False
42,ABHD13,evidence_attached,Rest,214,214,194,70,7,,cell_type_specific_context,0,False
43,ABHD14A,evidence_attached,Rest,101,101,3,6,13,,cell_type_specific_context,0,False
44,ABHD14B,associative_only,Rest,10,10,7,4,5,,cell_type_specific_context,0,False
45,ABHD15,not_assayed,,,0,0,29,,,not_assayed,0,False
46,ABHD16A,associative_only,Rest,5,5,2,3,2,,cell_type_specific_context,0,False
47,ABHD16B,not_assayed,,,10,3,2,,,not_assayed,0,False
48,ABHD17A,not_assayed,,,2,123,67,4,4,cell_type_specific_context,0,False
49,ABHD17B,associative_only,Stim8hr,3,2,3,2,0,,cell_type_specific_context,0,False
50,ABHD18,associative_only,Rest,4,4,4,4,,,not_assayed,0,False
51,ABHD2,evidence_attached,Rest,17,17,1,4,3,,cell_type_specific_context,0,False
52,ABHD3,associative_only,Stim48hr,2,1,1,2,1,,cell_type_specific_context,0,False
53,ABHD4,associative_only,Stim8hr,3,1,3,2,,,not_assayed,0,False
54,ABHD5,associative_only,Rest,4,4,1,2,4,,cell_type_specific_context,0,False
55,ABHD6,evidence_attached,Rest,21,21,2,3,1,,cell_type_specific_context,0,False
56,ABHD8,associative_only,Rest,3,3,1,1,0,,cell_type_specific_context,0,False
57,ABI1,associative_only,Stim48hr,2,1,1,2,1,,cell_type_specific_context,0,False
58,ABI2,associative_only,Stim48hr,5,0,0,5,2,,cell_type_specific_context,0,False
59,ABI3,evidence_attached,Rest,1036,1036,129,2,,,not_assayed,0,False
60,ABITRAM,not_assayed,,,14,1,0,0,,cell_type_specific_context,0,False
61,ABL1,not_assayed,,,1,1,0,1,,cell_type_specific_context,10,False
62,ABL2,associative_only,Stim48hr,10,1,2,10,6,,cell_type_specific_context,0,False
63,ABLIM3,not_assayed,,,1,0,2,,,not_assayed,0,False
64,ABRACL,associative_only,Rest,1,1,1,1,1,,cell_type_specific_context,0,False
65,ABRAXAS1,associative_only,Stim8hr,6,2,6,4,3,,cell_type_specific_context,0,False
66,ABRAXAS2,associative_only,Rest,3,3,1,1,0,,cell_type_specific_context,0,False
67,ABT1,not_assayed,,,0,53,0,394,973,specificity_warning,0,False
68,ABTB1,associative_only,Stim8hr,5,4,5,1,,,not_assayed,0,False
69,ABTB2,associative_only,Stim8hr,1,1,1,1,,,not_assayed,0,False
70,ABTB3,associative_only,Stim8hr,6,2,6,5,,,not_assayed,0,False
71,ACAA1,associative_only,Stim48hr,5,3,3,5,1,,cell_type_specific_context,0,False
72,ACAA2,associative_only,Stim48hr,6,3,6,6,6,,cell_type_specific_context,0,False
73,ACACA,evidence_attached,Stim48hr,913,4,4,913,8,,cell_type_specific_context,0,False
74,ACACB,not_assayed,,,1,1,1,,,not_assayed,0,False
75,ACAD10,associative_only,Rest,9,9,2,7,18,,cell_type_specific_context,0,False
76,ACAD11,evidence_attached,Rest,610,610,411,170,,,not_assayed,0,False
77,ACAD8,associative_only,Stim8hr,3,2,3,2,1,,cell_type_specific_context,0,False
78,ACAD9,evidence_attached,Stim48hr,607,1,5,607,5,,cell_type_specific_context,0,False
79,ACADM,associative_only,Stim8hr,3,2,3,2,1,,cell_type_specific_context,0,False
80,ACADS,evidence_attached,Stim48hr,30,4,3,30,0,,cell_type_specific_context,0,False
81,ACADSB,associative_only,Stim8hr,3,2,3,2,2,,cell_type_specific_context,0,False
82,ACADVL,associative_only,Stim8hr,5,4,5,4,1,,cell_type_specific_context,0,False
83,ACAP1,associative_only,Stim8hr,3,1,3,2,,,not_assayed,0,False
84,ACAP2,associative_only,Stim8hr,2,1,2,1,1,,cell_type_specific_context,0,False
85,ACAP3,associative_only,Rest,9,9,2,2,0,,cell_type_specific_context,0,False
86,ACAT1,associative_only,Rest,2,2,1,1,1,,cell_type_specific_context,0,False
87,ACAT2,associative_only,Rest,6,6,4,6,5,,cell_type_specific_context,0,False
88,ACBD3,associative_only,Stim8hr,4,2,4,3,4,,cell_type_specific_context,0,False
89,ACBD4,not_assayed,,,7,3,0,,,not_assayed,0,False
90,ACBD5,associative_only,Rest,6,6,5,4,4,,cell_type_specific_context,0,False
91,ACBD6,associative_only,Stim48hr,4,2,4,4,36,,specificity_warning,0,False
92,ACCS,associative_only,Stim48hr,2,1,0,2,0,,cell_type_specific_context,0,False
93,ACD,not_assayed,,,0,0,13,0,466,cell_type_specific_context,0,False
94,ACE,not_assayed,,,0,0,1,,,not_assayed,0,False
95,ACER1,not_assayed,,,0,0,0,,,not_assayed,0,False
96,ACER2,not_assayed,,,8,8,5,,,not_assayed,0,False
97,ACER3,associative_only,Rest,4,4,3,1,0,,cell_type_specific_context,0,False
98,ACIN1,not_assayed,,,1,7,1,52,2,specificity_warning,0,False
99,ACKR3,not_assayed,,,2,0,0,,,not_assayed,0,False
100,ACLY,evidence_attached,Stim48hr,2432,13,1321,2432,12,,cell_type_specific_context,0,False
101,ACO1,associative_only,Rest,1,1,1,1,1,,cell_type_specific_context,0,False
102,ACO2,not_assayed,,,4,59,1,1,,cell_type_specific_context,0,False
103,ACOT13,associative_only,Rest,3,3,3,3,2,,cell_type_specific_context,0,False
104,ACOT2,not_assayed,,,1,1,1,,,not_assayed,0,False
105,ACOT4,associative_only,Stim8hr,1,0,1,0,,,not_assayed,0,False
106,ACOT7,evidence_attached,Stim48hr,845,2,5,845,1,,cell_type_specific_context,0,False
107,ACOT8,associative_only,Stim48hr,6,3,4,6,0,,cell_type_specific_context,0,False
108,ACOT9,associative_only,Stim48hr,7,4,3,7,0,,cell_type_specific_context,0,False
109,ACOX1,associative_only,Stim48hr,8,6,8,8,1,,cell_type_specific_context,0,False
110,ACOX3,associative_only,Stim48hr,3,0,1,3,,,not_assayed,0,False
111,ACP1,associative_only,Stim48hr,5,2,3,5,4,,cell_type_specific_context,0,False
112,ACP2,associative_only,Stim48hr,4,3,2,4,0,,cell_type_specific_context,0,False
113,ACP5,associative_only,Rest,4,4,0,3,80,,specificity_warning,0,False
114,ACP6,associative_only,Rest,8,8,5,6,,,not_assayed,0,False
115,ACRBP,not_assayed,,,0,1,4,,,not_assayed,0,False
116,ACSF2,associative_only,Rest,1,1,0,1,,,not_assayed,0,False
117,ACSF3,associative_only,Stim48hr,2,1,2,2,11,,cell_type_specific_context,0,False
118,ACSL1,evidence_attached,Stim48hr,110,6,16,110,0,,cell_type_specific_context,0,False
119,ACSL3,evidence_attached,Stim48hr,54,16,5,54,208,,specificity_warning,0,False
120,ACSL4,associative_only,Rest,5,5,4,2,6,,cell_type_specific_context,0,False
121,ACSL5,associative_only,Rest,5,5,2,2,,,not_assayed,0,False
122,ACSL6,evidence_attached,Rest,290,290,0,5,,,not_assayed,0,False
123,ACSM3,associative_only,Stim48hr,2,22,1,2,0,,cell_type_specific_context,0,False
124,ACSS1,evidence_attached,Rest,357,357,5,4,,,not_assayed,0,False
125,ACSS2,evidence_attached,Stim8hr,12,3,12,7,193,60,specificity_warning,0,False
126,ACTA2,not_assayed,,,0,1,0,,,not_assayed,0,False
127,ACTB,not_assayed,,,213,46,94,97,1165,specificity_warning,0,False
128,ACTG1,associative_only,Stim48hr,3,1,2,3,14,,cell_type_specific_context,0,False
129,ACTMAP,evidence_attached,Rest,95,95,42,51,,,not_assayed,0,False
130,ACTN1,associative_only,Stim8hr,2,0,2,1,11,,cell_type_specific_context,0,False
131,ACTN4,associative_only,Rest,4,4,2,4,3,,cell_type_specific_context,0,False
132,ACTR1A,associative_only,Stim48hr,2,1,1,2,1,3,cell_type_specific_context,0,False
133,ACTR1B,associative_only,Rest,2,2,2,2,5,40,cell_type_specific_context,0,False
134,ACTR2,evidence_attached,Stim48hr,1049,77,583,1049,9,1097,cell_type_specific_context,0,False
135,ACTR3,evidence_attached,Stim8hr,209,32,209,117,8,503,cell_type_specific_context,0,False
136,ACTR3B,not_assayed,,,1,4,6,1,,cell_type_specific_context,0,False
137,ACTR3C,not_assayed,,,1,1,1,1,,cell_type_specific_context,0,False
138,ACTR5,evidence_attached,Stim8hr,585,332,585,374,130,345,specificity_warning,0,False
139,ACTR8,evidence_attached,Rest,920,920,851,638,1133,614,specificity_warning,0,False
140,ACVR1,evidence_attached,Stim48hr,11,7,5,11,,,not_assayed,0,False
141,ACVR1B,associative_only,Stim8hr,1,0,1,0,1,,cell_type_specific_context,0,False
142,ACVR1C,associative_only,Stim48hr,2,4,1,2,,,not_assayed,0,False
143,ACVR2A,evidence_attached,Stim8hr,23,4,23,5,,,not_assayed,0,False
144,ACVR2B,associative_only,Stim48hr,2,1,1,2,1,,cell_type_specific_context,0,False
145,ACY1,associative_only,Rest,1,1,1,1,4,,cell_type_specific_context,0,False
146,ACYP1,associative_only,Stim48hr,4,3,4,4,0,,cell_type_specific_context,0,False
147,ACYP2,evidence_attached,Stim48hr,402,13,14,402,0,,cell_type_specific_context,0,False
148,ADA,associative_only,Rest,1,1,1,1,1,,cell_type_specific_context,0,False
149,ADA2,associative_only,Rest,3,3,2,1,,,not_assayed,0,False
150,ADAM10,evidence_attached,Stim8hr,30,24,30,4,609,2531,specificity_warning,0,False
151,ADAM12,not_assayed,,,0,0,0,,,not_assayed,0,False
152,ADAM15,associative_only,Stim48hr,6,1,2,6,1,,cell_type_specific_context,0,False
153,ADAM17,associative_only,Stim48hr,2,1,2,2,1,,cell_type_specific_context,0,False
154,ADAM19,evidence_attached,Stim48hr,449,243,402,449,,,not_assayed,0,False
155,ADAM22,not_assayed,,,0,3,4,,,not_assayed,0,False
156,ADAM23,not_assayed,,,5,3,0,,,not_assayed,0,False
157,ADAM28,not_assayed,,,0,0,0,,,not_assayed,0,False
158,ADAM8,associative_only,Rest,7,7,3,2,,,not_assayed,0,False
159,ADAM9,evidence_attached,Rest,97,97,11,2,1,,cell_type_specific_context,0,False
160,ADAMTS1,not_assayed,,,0,2,4,,,not_assayed,0,False
161,ADAMTS10,associative_only,Rest,6,6,2,2,,,not_assayed,0,False
162,ADAMTS17,not_assayed,,,6,1,5,,,not_assayed,0,False
163,ADAMTS6,evidence_attached,Stim48hr,12,8,9,12,,,not_assayed,0,False
164,ADAMTSL5,not_assayed,,,1,4,4,,,not_assayed,0,False
165,ADAP1,associative_only,Stim48hr,1,0,1,1,,,not_assayed,0,False
166,ADAR,associative_only,Stim8hr,4,0,4,3,1,,cell_type_specific_context,0,False
167,ADARB1,associative_only,Rest,3,3,1,3,0,,cell_type_specific_context,0,False
168,ADARB2,not_assayed,,,1,0,0,,,not_assayed,0,False
169,ADAT1,associative_only,Stim8hr,6,4,6,3,5,,cell_type_specific_context,0,False
170,ADAT2,evidence_attached,Stim8hr,528,205,528,193,0,4,cell_type_specific_context,0,False
171,ADAT3,not_assayed,,,937,598,513,198,116,specificity_warning,0,False
172,ADCK1,not_assayed,,,0,2,2,,,not_assayed,0,False
173,ADCK2,associative_only,Rest,2,2,1,1,0,,cell_type_specific_context,0,False
174,ADCK5,associative_only,Stim48hr,2,1,2,2,0,,cell_type_specific_context,0,False
175,ADCY1,associative_only,Stim48hr,2,0,0,2,,,not_assayed,0,False
176,ADCY3,associative_only,Rest,3,3,2,1,0,,cell_type_specific_context,0,False
177,ADCY4,evidence_attached,Rest,273,273,2,221,,,not_assayed,0,False
178,ADCY7,associative_only,Stim8hr,2,1,2,1,0,,cell_type_specific_context,0,False
179,ADCY9,associative_only,Stim8hr,5,1,5,1,,,not_assayed,0,False
180,ADD1,associative_only,Stim8hr,10,2,10,6,9,,cell_type_specific_context,0,False
181,ADD2,associative_only,Stim48hr,3,0,1,3,0,,cell_type_specific_context,0,False
182,ADD3,associative_only,Stim48hr,4,0,0,4,0,,cell_type_specific_context,0,False
183,ADGRA3,associative_only,Stim8hr,2,0,2,1,,,not_assayed,0,False
184,ADGRB2,not_assayed,,,0,1,0,,,not_assayed,0,False
185,ADGRE2,not_assayed,,,1,0,0,,,not_assayed,0,False
186,ADGRE5,associative_only,Stim8hr,2,1,2,1,,,not_assayed,0,False
187,ADGRG1,associative_only,Stim8hr,10,6,10,6,,,not_assayed,0,False
188,ADGRG5,evidence_attached,Stim8hr,39,18,39,36,,,not_assayed,0,False
189,ADGRL1,not_assayed,,,7,14,17,,,not_assayed,0,False
190,ADGRV1,not_assayed,,,3,1,1,,,not_assayed,0,False
191,ADH1B,not_assayed,,,0,0,0,,,not_assayed,0,False
192,ADH5,associative_only,Stim8hr,2,1,2,1,1,,cell_type_specific_context,0,False
193,ADHFE1,evidence_attached,Stim48hr,184,1,6,184,,,not_assayed,0,False
194,ADI1,associative_only,Stim8hr,6,4,6,3,1,,cell_type_specific_context,0,False
195,ADIPOR1,associative_only,Stim48hr,5,2,2,5,2,,cell_type_specific_context,0,False
196,ADIPOR2,associative_only,Rest,2,2,1,2,3,,cell_type_specific_context,0,False
197,ADIRF,not_assayed,,,1,1,1,,,not_assayed,0,False
198,ADISSP,associative_only,Stim48hr,1,0,1,1,,,not_assayed,0,False
199,ADK,associative_only,Rest,2,2,1,1,4,,cell_type_specific_context,0,False
200,ADM,not_assayed,,,0,2,2,,,not_assayed,0,False
201,ADM5,evidence_attached,Stim8hr,32,17,32,19,,,not_assayed,0,False
202,ADNP,evidence_attached,Stim8hr,50,25,50,42,141,,specificity_warning,1,False
203,ADNP2,evidence_attached,Stim48hr,97,58,92,97,229,100,specificity_warning,1,False
204,ADO,evidence_attached,Rest,668,668,50,11,141,,specificity_warning,0,False
205,ADORA2A,associative_only,Stim8hr,8,19,8,4,,,not_assayed,0,False
206,ADORA2B,not_assayed,,,3,0,1,0,,cell_type_specific_context,0,False
207,ADPGK,associative_only,Rest,2,2,1,1,13,,cell_type_specific_context,0,False
208,ADPRH,associative_only,Rest,9,9,2,1,,,not_assayed,0,False
209,ADPRM,evidence_attached,Stim48hr,460,9,5,460,,,not_assayed,0,False
210,ADPRS,evidence_attached,Rest,14,14,10,4,,,not_assayed,0,False
211,ADRB2,associative_only,Rest,6,6,0,1,,,not_assayed,0,False
212,ADRM1,evidence_attached,Stim8hr,31,5,31,27,54,107,specificity_warning,0,False
213,ADSS2,evidence_attached,Rest,466,466,81,0,,,not_assayed,0,False
214,ADTRP,not_assayed,,,0,0,1,0,,cell_type_specific_context,0,False
215,AEBP1,not_assayed,,,0,1,0,0,,cell_type_specific_context,5,False
216,AEBP2,evidence_attached,Stim48hr,510,12,55,510,8,,cell_type_specific_context,1,False
217,AEN,associative_only,Rest,3,3,2,1,1,,cell_type_specific_context,0,False
218,AFAP1,evidence_attached,Stim8hr,12,2,12,0,,,not_assayed,0,False
219,AFAP1L2,not_assayed,,,0,1,0,,,not_assayed,0,False
220,AFDN,associative_only,Rest,3,3,2,3,,,not_assayed,0,False
221,AFF1,not_assayed,,,1,5,29,0,,cell_type_specific_context,0,False
222,AFF2,not_assayed,,,0,0,0,,,not_assayed,0,False
223,AFF3,not_assayed,,,0,0,0,,,not_assayed,0,False
224,AFF4,associative_only,Rest,10,10,4,1,3,,cell_type_specific_context,0,False
225,AFG2A,not_assayed,,,0,5,0,,,not_assayed,0,False
226,AFG2B,not_assayed,,,0,0,2,,,not_assayed,0,False
227,AFG3L2,not_assayed,,,64,83,171,60,169,specificity_warning,0,False
228,AFMID,not_assayed,,,1,3,1,0,,cell_type_specific_context,0,False
229,AFTPH,associative_only,Stim8hr,9,4,9,2,5,,cell_type_specific_context,0,False
230,AGA,associative_only,Stim8hr,2,1,2,1,0,,cell_type_specific_context,0,False
231,AGAP1,not_assayed,,,2,1,1,0,,cell_type_specific_context,0,False
232,AGAP2,associative_only,Rest,6,6,6,3,,,not_assayed,0,False
233,AGAP3,associative_only,Rest,4,4,1,4,0,,cell_type_specific_context,0,False
234,AGAP4,not_assayed,,,4,4,2,,,not_assayed,0,False
235,AGAP5,not_assayed,,,0,0,0,,,not_assayed,0,False
236,AGAP6,not_assayed,,,11,2,2,,,not_assayed,0,False
237,AGAP9,not_assayed,,,0,0,1,,,not_assayed,0,False
238,AGBL2,not_assayed,,,3,1,3,,,not_assayed,0,False
239,AGBL5,evidence_attached,Rest,25,25,3,4,333,1329,specificity_warning,0,False
240,AGER,not_assayed,,,1,1,0,,,not_assayed,0,False
241,AGFG1,not_assayed,,,0,2,10,3,,cell_type_specific_context,0,False
242,AGFG2,associative_only,Stim48hr,4,1,1,4,0,,cell_type_specific_context,0,False
243,AGGF1,evidence_attached,Stim48hr,11,8,5,11,2,,cell_type_specific_context,0,False
244,AGK,associative_only,Stim8hr,10,7,10,5,0,,cell_type_specific_context,0,False
245,AGL,associative_only,Rest,1,1,1,1,1,,cell_type_specific_context,0,False
246,AGMAT,associative_only,Stim48hr,2,1,1,2,,,not_assayed,0,False
247,AGO1,associative_only,Stim48hr,7,4,4,7,34,,specificity_warning,0,False
248,AGO2,associative_only,Stim48hr,1,1,1,1,1,,cell_type_specific_context,0,False
249,AGO3,associative_only,Stim8hr,4,1,4,2,1,,cell_type_specific_context,0,False
250,AGO4,not_assayed,,,0,1,0,,,not_assayed,0,False
251,AGPAT1,evidence_attached,Rest,203,203,12,12,5,,cell_type_specific_context,0,False
252,AGPAT2,associative_only,Stim48hr,3,0,1,3,1,,cell_type_specific_context,0,False
253,AGPAT3,associative_only,Stim48hr,3,2,3,3,1,,cell_type_specific_context,0,False
254,AGPAT4,associative_only,Rest,3,3,0,1,53,,specificity_warning,0,False
255,AGPAT5,associative_only,Stim48hr,2,1,1,2,1,,cell_type_specific_context,0,False
256,AGPS,associative_only,Rest,2,2,1,2,6,,cell_type_specific_context,0,False
257,AGR2,not_assayed,,,3,0,1,,,not_assayed,0,False
258,AGR3,not_assayed,,,0,2,0,,,not_assayed,0,False
259,AGRN,evidence_attached,Stim8hr,31,66,31,25,1,,cell_type_specific_context,0,False
260,AGTPBP1,associative_only,Rest,9,9,8,4,,,not_assayed,0,False
261,AGTRAP,associative_only,Stim48hr,2,1,1,2,1,,cell_type_specific_context,0,False
262,AHCYL1,associative_only,Stim48hr,7,2,5,7,59,,specificity_warning,0,False
263,AHCYL2,not_assayed,,,0,0,0,,,not_assayed,0,False
264,AHDC1,associative_only,Rest,9,9,6,3,0,,cell_type_specific_context,0,False
265,AHI1,associative_only,Stim8hr,2,1,2,1,0,,cell_type_specific_context,0,False
266,AHNAK,evidence_attached,Rest,22,22,3,4,2,,cell_type_specific_context,0,False
267,AHR,evidence_attached,Rest,2790,2790,1777,1822,0,,cell_type_specific_context,193,False
268,AHRR,associative_only,Rest,2,2,2,1,3,,cell_type_specific_context,5,False
269,AHSA1,evidence_attached,Rest,63,63,4,18,1,,cell_type_specific_context,0,False
270,AHSP,not_assayed,,,0,0,0,0,,cell_type_specific_context,0,False
271,AIDA,associative_only,Rest,4,4,3,2,11,,cell_type_specific_context,0,False
272,AIF1,associative_only,Rest,1,1,1,1,1,,cell_type_specific_context,0,False
273,AIFM1,evidence_attached,Stim48hr,998,38,58,998,5,22,cell_type_specific_context,0,False
274,AIFM2,associative_only,Rest,1,1,1,1,0,,cell_type_specific_context,0,False
275,AIG1,associative_only,Rest,1,1,1,1,0,,cell_type_specific_context,0,False
276,AIM2,associative_only,Rest,2,2,1,1,,,not_assayed,0,False
277,AIMP1,evidence_attached,Stim8hr,17,8,17,8,2,,cell_type_specific_context,0,False
278,AIMP2,associative_only,Rest,5,5,4,2,1,,cell_type_specific_context,0,False
279,AIP,evidence_attached,Stim8hr,303,104,303,249,1,,cell_type_specific_context,6,False
280,AIRE,not_assayed,,,0,0,1,5,,cell_type_specific_context,23,False
281,AIRIM,not_assayed,,,8,292,4,,,not_assayed,0,False
282,AJAP1,not_assayed,,,4,7,6,,,not_assayed,0,False
283,AK1,not_assayed,,,1,0,0,2,,cell_type_specific_context,0,False
284,AK3,evidence_attached,Rest,324,324,213,58,6,,cell_type_specific_context,0,False
285,AK4,associative_only,Stim48hr,3,1,3,3,0,,cell_type_specific_context,0,False
286,AK5,not_assayed,,,17,36,0,,,not_assayed,0,False
287,AK9,associative_only,Stim48hr,8,149,4,8,,,not_assayed,0,False
288,AKAP1,associative_only,Stim48hr,8,4,6,8,1,,cell_type_specific_context,0,False
289,AKAP10,evidence_attached,Stim8hr,56,34,56,11,,,not_assayed,0,False
290,AKAP11,evidence_attached,Stim8hr,26,1,26,3,3,,cell_type_specific_context,0,False
291,AKAP12,not_assayed,,,2,1,1,,,not_assayed,0,False
292,AKAP13,associative_only,Stim8hr,6,5,6,3,1,,cell_type_specific_context,0,False
293,AKAP17A,evidence_attached,Stim48hr,86,29,71,86,1,,cell_type_specific_context,0,False
294,AKAP5,associative_only,Stim48hr,1,0,1,1,,,not_assayed,0,False
295,AKAP7,not_assayed,,,1,1,0,,,not_assayed,0,False
296,AKAP8,associative_only,Stim8hr,1,0,1,0,0,,cell_type_specific_context,0,False
297,AKAP8L,associative_only,Rest,5,5,4,4,20,,cell_type_specific_context,0,False
298,AKAP9,associative_only,Rest,4,4,2,1,1,,cell_type_specific_context,0,False
299,AKIP1,associative_only,Stim8hr,6,1,6,1,0,,cell_type_specific_context,0,False
300,AKIRIN1,evidence_attached,Rest,18,18,14,6,10,,cell_type_specific_context,0,False
301,AKIRIN2,evidence_attached,Stim8hr,37,27,37,16,131,76,specificity_warning,0,False
302,AKNA,associative_only,Rest,1,1,1,0,1,,cell_type_specific_context,2,False
303,AKR1A1,evidence_attached,Stim8hr,49,2,49,1,9,,cell_type_specific_context,0,False
304,AKR1B1,associative_only,Rest,6,6,3,4,,,not_assayed,0,False
305,AKR1C1,not_assayed,,,1775,6,242,0,,cell_type_specific_context,0,False
306,AKR1C3,evidence_attached,Rest,20,20,0,4,,,not_assayed,0,False
307,AKR1E2,not_assayed,,,0,0,0,1,,cell_type_specific_context,0,False
308,AKR7A2,evidence_attached,Rest,22,22,12,4,3,,cell_type_specific_context,0,False
309,AKR7A3,not_assayed,,,2,0,2,,,not_assayed,0,False
310,AKT1,associative_only,Stim48hr,4,2,4,4,3,,cell_type_specific_context,0,False
311,AKT1S1,associative_only,Stim8hr,4,2,4,3,2,,cell_type_specific_context,0,False
312,AKT2,evidence_attached,Rest,23,23,6,8,92,,specificity_warning,0,False
313,AKT3,associative_only,Rest,3,3,3,3,,,not_assayed,0,False
314,AKTIP,evidence_attached,Stim8hr,18,1,18,4,,,not_assayed,0,False
315,ALAD,evidence_attached,Stim48hr,41,0,16,41,44,,specificity_warning,0,False
316,ALAS1,evidence_attached,Stim8hr,61,3,61,13,50,,specificity_warning,0,False
317,ALAS2,not_assayed,,,0,3,1,0,,cell_type_specific_context,0,False
318,ALCAM,associative_only,Rest,1,1,1,1,,,not_assayed,0,False
319,ALDH16A1,associative_only,Stim48hr,3,1,1,3,0,,cell_type_specific_context,0,False
320,ALDH18A1,evidence_attached,Stim8hr,175,119,175,16,1,,cell_type_specific_context,0,False
321,ALDH1A1,not_assayed,,,0,0,0,1,,cell_type_specific_context,0,False
322,ALDH1B1,evidence_attached,Stim48hr,11,4,7,11,3,,cell_type_specific_context,0,False
323,ALDH2,not_assayed,,,1,2,1,2,,cell_type_specific_context,0,False
324,ALDH3A2,associative_only,Stim48hr,4,1,1,4,,,not_assayed,0,False
325,ALDH5A1,associative_only,Stim48hr,2,0,2,2,1,,cell_type_specific_context,0,False
326,ALDH7A1,not_assayed,,,0,0,0,,,not_assayed,0,False
327,ALDH8A1,not_assayed,,,0,1,1,,,not_assayed,0,False
328,ALDH9A1,associative_only,Rest,2,2,1,2,3,,cell_type_specific_context,0,False
329,ALDOA,not_assayed,,,1,233,6,843,1669,specificity_warning,0,False
330,ALDOC,associative_only,Rest,1,1,1,1,0,,cell_type_specific_context,0,False
331,ALG1,evidence_attached,Stim8hr,400,133,400,1,8,166,cell_type_specific_context,0,False
332,ALG10,not_assayed,,,1,0,1,,,not_assayed,0,False
333,ALG10B,not_assayed,,,3,0,2,,,not_assayed,0,False
334,ALG12,evidence_attached,Stim8hr,68,42,68,56,7,,cell_type_specific_context,0,False
335,ALG13,evidence_attached,Stim8hr,186,35,186,4,414,300,specificity_warning,0,False
336,ALG14,not_assayed,,,4,55,12,162,961,specificity_warning,0,False
337,ALG2,evidence_attached,Stim8hr,107,60,107,22,288,1279,specificity_warning,0,False
338,ALG3,evidence_attached,Stim8hr,122,8,122,10,9,,cell_type_specific_context,0,False
339,ALG5,evidence_attached,Rest,38,38,27,35,2,,cell_type_specific_context,0,False
