gene,k562_de,k562_ad,is_control
WDTC1,907,1597,False
RRS1,903,979,False
RPL14,902,1096,False
SFPQ,902,1336,False
SART3,899,1386,False
NOL11,897,1344,False
ZNHIT1,895,1095,False
MLLT6,895,963,False
WDR5,895,1096,False
MBTPS2,894,1052,False
MRPL18,879,903,False
EIF4G1,878,977,False
UTP23,876,1386,False
GRPEL1,869,1179,False
ILF3,869,1035,False
ATP1A1,869,1358,False
XPO1,867,1170,False
RPP30,863,1311,False
NBAS,860,1034,False
RPL26,859,1016,False
OGFOD1,857,1102,False
NIP7,854,1134,False
BNIP1,854,1179,False
TIMM44,851,1608,False
TTC27,849,961,False
ALDOA,843,990,False
NAE1,841,1026,False
RPL17,841,933,False
LUC7L3,840,1503,False
POLR1E,840,1110,False
TRNT1,840,1049,False
TWISTNB,840,1236,False
RPL10,839,976,False
SMG5,839,955,False
POLR1C,836,1405,False
PPP1R37,835,1045,False
ATR,834,1692,False
HMGB3,832,892,False
RPL8,832,1045,False
PRDM8,831,1773,False
RCL1,830,1403,False
MCM2,829,859,False
MED1,829,2285,False
ATP5F1B,829,1104,False
PPRC1,829,1517,False
CARS,828,1923,False
INO80,827,1096,False
RPL27A,824,1104,False
MRPL39,823,825,False
RPL19,823,1011,False
DYNLL2,822,1463,False
U2SURP,820,856,False
RPL31,816,906,False
MRPS35,815,932,False
PRELID3B,813,1200,False
SRSF1,809,1502,False
HBS1L,807,1527,False
TAF1D,806,1100,False
DDX21,803,1049,False
CHCHD4,801,929,False
HSPE1,801,1179,False
DGCR8,799,1279,False
DAD1,798,1270,False
NARS,794,1156,False
DDX20,793,935,False
UHRF1,791,1007,False
PDCD11,789,924,False
IARS2,786,983,False
PRPF4B,782,1070,False
TAF10,781,1907,False
COPS6,779,1185,False
IMP4,779,1100,False
ABCF1,775,890,False
EXOC4,774,792,False
GTF2E1,774,1099,False
ZNHIT6,773,1059,False
MAD2L1,770,1191,False
RPS10-NUDT3,769,1137,False
COX17,768,884,False
MRPL3,761,815,False
FBL,757,1162,False
SHC1,757,1260,False
BCR,757,1151,False
DHODH,756,1277,False
RPS5,756,903,False
ZDHHC7,752,1789,False
PRPF40A,752,925,False
TPR,752,1154,False
NIFK,750,832,False
RNMT,748,1261,False
TTC4,746,800,False
RNF20,742,913,False
ASCC3,737,943,False
SUPT16H,736,1378,False
MYB,735,1129,False
MED29,733,2378,False
NVL,733,820,False
RPL34,733,1014,False
ROMO1,730,1022,False
MVD,727,820,False
METTL3,726,822,False
NACA,725,1804,False
RINT1,724,895,False
POP1,721,1047,False
UQCRFS1,721,873,False
DENR,717,749,False
SUPT20H,712,1676,False
RPL30,710,1019,False
NOP10,709,1241,False
SDAD1,708,841,False
SEC61G,706,931,False
MRPS28,703,873,False
LARS,702,871,False
LTV1,700,948,False
UBA2,698,802,False
MRPS34,697,995,False
TCERG1,694,800,False
SRP19,692,825,False
NAA38,689,943,False
IRF2BP2,688,1322,False
CCNK,687,733,False
ESF1,687,1074,False
MEMO1,684,729,False
CCT4,679,820,False
TBL3,679,1053,False
HNRNPL,677,913,False
NELFB,677,1549,False
EIF3A,676,841,False
SLC25A42,669,1229,False
DDOST,668,821,False
RPS10,666,732,False
BGLAP,666,1684,False
C1orf131,665,1185,False
DDX46,663,739,False
CNOT1,661,769,False
ATP5F1A,659,721,False
FOLR3,658,749,False
RPL6,654,930,False
MRPS18A,651,721,False
PGS1,647,791,False
PTPN11,647,917,False
CDK9,643,775,False
CUL1,641,1120,False
ZCCHC9,640,827,False
TMEM161B,640,1057,False
YEATS2,640,710,False
MED18,639,1496,False
RPS15A,639,839,False
GEMIN4,636,729,False
INTS5,635,1164,False
TADA3,635,997,False
ZC3H4,634,947,False
RPL38,634,796,False
STT3B,634,1048,False
GMIP,633,869,False
LSG1,633,842,False
RPL37,632,813,False
TAF12,631,1795,False
PGD,630,865,False
BUB3,629,867,False
TFDP1,628,1184,False
TMA16,628,802,False
BRD8,625,725,False
HMBOX1,623,1786,False
TRMT112,622,1374,False
SLC7A5,620,806,False
PHF5A,613,816,False
VARS2,613,639,False
GRB2,612,739,False
EXOSC6,610,1854,False
ADAM10,609,1441,False
CD3EAP,609,805,False
LAS1L,608,601,False
NELFA,605,774,False
RPLP2,604,692,False
DDX6,603,815,False
PPIH,601,740,False
TAF6,598,944,False
MMP17,597,868,False
BCAS2,595,747,False
DHX30,593,632,False
SLBP,593,633,False
EIF4G2,590,612,False
POLR2G,589,1573,False
IMPA2,587,819,False
MRPL27,587,613,False
LEO1,586,691,False
DPH2,584,767,False
HNRNPC,583,681,False
PNISR,582,661,False
CDIPT,580,704,False
MRPL10,580,603,False
POP4,580,986,False
RPS7,579,689,False
HSPH1,577,671,False
RSL1D1,577,648,False
DNAJC17,576,1373,False
RAD51,575,730,False
GTF2A2,571,834,False
DEPDC5,567,569,False
MDN1,566,708,False
UBA3,566,650,False
MRPL33,565,569,False
C12orf45,565,896,False
MRPL55,563,565,False
MRPS21,562,687,False
STRAP,562,578,False
PPP1R11,558,636,False
RPL5,558,654,False
BOP1,557,614,False
TP53RK,557,601,False
DHX33,555,1216,False
LETM1,555,655,False
HIPK1,554,1540,False
EIF3M,552,607,False
GINS1,549,689,False
RPL7,549,789,False
TARS2,549,564,False
DDX24,547,671,False
ZNRD1,546,936,False
SRSF7,546,610,False
MRPL37,544,574,False
MRPL43,541,588,False
NOP2,541,624,False
SPATA5L1,541,577,False
NELFE,540,812,False
RBM15,540,650,False
LONP1,539,849,False
POLD1,539,564,False
RPL21,539,676,False
DHX37,538,1387,False
PES1,538,632,False
POLD3,538,600,False
SARS,536,1116,False
YARS2,536,562,False
RPS18,534,780,False
CCDC84,533,729,False
GTF2A1,533,936,False
MED24,531,1141,False
GPN1,528,1113,False
GTF3C3,528,662,False
INO80B,528,736,False
PAF1,528,890,False
PSMD7,526,1394,False
MED21,524,1244,False
RRP7A,524,698,False
GTF2E2,523,817,False
MOB4,523,623,False
